customer_id,first_order_date,customer_name,email,country
CUST-00242,2023-07-21 09:55:33+00:00,,,
CUST-00248,2023-04-08 22:16:04+00:00,,,
CUST-00262,2023-03-06 23:06:51+00:00,,,
CUST-00266,2023-01-21 17:07:15+00:00,,,
CUST-00267,2023-10-10 18:30:08+00:00,,,
CUST-00270,2023-03-07 15:45:17+00:00,,,
CUST-00276,2023-10-17 22:52:03+00:00,,,
CUST-00282,2023-02-17 14:02:26+00:00,,,
CUST-00285,2023-11-20 22:02:38+00:00,,,
CUST-00286,2023-03-31 00:49:52+00:00,,,
CUST-00287,2023-05-13 03:29:12+00:00,,,
CUST-00289,2023-02-12 18:24:39+00:00,,,
CUST-00290,2023-10-28 08:13:52+00:00,,,
CUST-00296,2023-02-13 19:47:45+00:00,,,
CUST-00304,2023-09-01 10:18:05+00:00,,,
CUST-00306,2023-09-13 19:15:21+00:00,,,
CUST-00309,2023-07-05 00:42:48+00:00,,,
CUST-00315,2023-06-14 08:56:44+00:00,,,
CUST-00321,2023-05-08 10:02:11+00:00,,,
CUST-00322,2023-07-10 17:44:56+00:00,,,
CUST-00324,2023-11-14 07:57:17+00:00,,,
CUST-00329,2023-01-08 20:35:03+00:00,,,
CUST-00331,2023-02-09 08:10:02+00:00,,,
CUST-00336,2023-02-11 15:01:00+00:00,,,
CUST-00337,2023-04-14 17:07:01+00:00,,,
CUST-00341,2023-01-17 21:46:12+00:00,,,
CUST-00354,2023-01-10 07:22:45+00:00,,,
CUST-00356,2023-03-17 03:21:28+00:00,,,
CUST-00357,2023-06-03 06:24:06+00:00,,,
CUST-00359,2023-03-24 04:49:00+00:00,,,
CUST-00366,2023-11-15 02:53:46+00:00,,,
CUST-00367,2023-05-31 19:58:33+00:00,,,
CUST-00369,2023-09-30 17:10:56+00:00,,,
CUST-00373,2023-09-28 11:20:52+00:00,,,
CUST-00377,2023-05-04 14:15:32+00:00,,,
CUST-00378,2023-01-26 23:22:28+00:00,,,
CUST-00382,2023-10-09 14:24:34+00:00,,,
CUST-00386,2023-12-24 21:21:08+00:00,,,
CUST-00387,2023-08-12 06:31:08+00:00,,,
CUST-00388,2023-04-27 08:34:20+00:00,,,
CUST-00389,2023-06-18 15:47:32+00:00,,,
CUST-00394,2023-11-18 05:51:56+00:00,,,
CUST-00396,2023-09-30 15:13:01+00:00,,,
CUST-00398,2023-09-27 16:14:43+00:00,,,
CUST-00406,2023-09-08 16:09:42+00:00,,,
CUST-00412,2023-11-09 01:37:52+00:00,,,
CUST-00417,2023-11-16 01:34:01+00:00,,,
CUST-00423,2023-02-27 17:06:47+00:00,,,
CUST-00424,2023-04-15 19:45:45+00:00,,,
CUST-00428,2023-09-23 15:52:43+00:00,,,
CUST-00433,2023-04-14 03:22:23+00:00,,,
CUST-00436,2023-11-23 06:29:37+00:00,,,
CUST-00440,2023-02-01 18:23:45+00:00,,,
CUST-00442,2023-04-19 22:58:15+00:00,,,
CUST-00443,2023-02-04 15:17:43+00:00,,,
CUST-00445,2023-06-10 13:15:18+00:00,,,
CUST-00449,2023-11-01 19:39:57+00:00,,,
CUST-00452,2023-12-09 17:24:49+00:00,,,
CUST-00459,2023-05-08 08:09:42+00:00,,,
CUST-00460,2023-02-24 08:21:51+00:00,,,
CUST-00462,2023-01-29 13:46:39+00:00,,,
CUST-00465,2023-11-14 21:04:46+00:00,,,
CUST-00469,2023-10-20 04:10:54+00:00,,,
CUST-00476,2023-08-03 05:10:19+00:00,,,
CUST-00483,2023-06-05 11:08:39+00:00,,,
CUST-00486,2023-09-03 16:28:59+00:00,,,
CUST-00488,2023-01-30 13:17:55+00:00,,,
CUST-00495,2023-03-15 12:52:39+00:00,,,
CUST-00499,2023-05-01 12:09:08+00:00,,,
CUST-00505,2023-10-21 23:31:44+00:00,,,
CUST-00507,2023-09-13 18:36:33+00:00,,,
CUST-00511,2023-08-14 15:23:20+00:00,,,
CUST-00515,2023-01-17 09:54:55+00:00,,,
CUST-00522,2023-02-21 09:29:57+00:00,,,
CUST-00524,2023-09-30 13:20:57+00:00,,,
CUST-00535,2023-08-22 15:27:31+00:00,,,
CUST-00536,2023-08-10 03:16:01+00:00,,,
CUST-00538,2023-04-30 15:33:48+00:00,,,
CUST-00539,2023-01-03 04:36:59+00:00,,,
CUST-00541,2023-01-03 01:16:25+00:00,,,
CUST-00545,2023-09-02 07:41:00+00:00,,,
CUST-00547,2023-01-07 22:14:46+00:00,,,
CUST-00550,2023-12-16 05:17:18+00:00,,,
CUST-00552,2023-11-26 16:31:11+00:00,,,
CUST-00555,2023-03-02 13:59:02+00:00,,,
CUST-00559,2023-10-15 14:03:50+00:00,,,
CUST-00562,2023-05-07 16:14:42+00:00,,,
CUST-00563,2023-07-07 21:39:13+00:00,,,
CUST-00567,2023-03-15 01:02:15+00:00,,,
CUST-00569,2023-02-02 14:04:57+00:00,,,
CUST-00571,2023-04-27 12:31:16+00:00,,,
CUST-00573,2023-04-24 00:54:45+00:00,,,
CUST-00576,2023-04-23 04:08:06+00:00,,,
CUST-00577,2023-04-17 03:22:04+00:00,,,
CUST-00579,2023-12-10 20:51:25+00:00,,,
CUST-00587,2023-06-02 15:16:53+00:00,,,
CUST-00589,2023-09-28 21:26:11+00:00,,,
CUST-00593,2023-07-11 16:54:26+00:00,,,
CUST-00594,2023-06-30 23:28:21+00:00,,,
CUST-00599,2023-05-11 06:45:42+00:00,,,
CUST-00603,2023-07-29 07:03:03+00:00,,,
CUST-00604,2023-10-03 08:42:03+00:00,,,
CUST-00607,2023-01-13 22:03:48+00:00,,,
CUST-00608,2023-01-12 04:35:54+00:00,,,
CUST-00610,2023-04-10 14:03:38+00:00,,,
CUST-00611,2023-06-19 08:23:32+00:00,,,
CUST-00612,2023-11-14 20:58:29+00:00,,,
CUST-00615,2023-03-29 21:49:35+00:00,,,
CUST-00625,2023-11-16 15:17:50+00:00,,,
CUST-00626,2023-07-06 08:54:59+00:00,,,
CUST-00627,2023-11-15 13:25:17+00:00,,,
CUST-00631,2023-10-17 13:48:40+00:00,,,
CUST-00632,2023-02-15 07:31:12+00:00,,,
CUST-00634,2023-06-18 04:05:09+00:00,,,
CUST-00639,2023-12-22 00:08:48+00:00,,,
CUST-00642,2023-08-26 22:20:00+00:00,,,
CUST-00644,2023-10-28 09:10:27+00:00,,,
CUST-00646,2023-04-17 19:22:08+00:00,,,
CUST-00653,2023-09-23 15:43:48+00:00,,,
CUST-00658,2023-12-13 14:57:11+00:00,,,
CUST-00664,2023-12-11 18:33:34+00:00,,,
CUST-00666,2023-11-03 20:36:55+00:00,,,
CUST-00667,2023-09-28 13:32:58+00:00,,,
CUST-00668,2023-10-16 03:04:55+00:00,,,
CUST-00670,2023-01-20 22:34:54+00:00,,,
CUST-00673,2023-12-23 11:47:27+00:00,,,
CUST-00675,2023-05-17 12:32:58+00:00,,,
CUST-00676,2023-10-28 01:33:49+00:00,,,
CUST-00677,2023-03-10 10:03:38+00:00,,,
CUST-00678,2023-06-24 22:59:55+00:00,,,
CUST-00679,2023-12-30 02:20:29+00:00,,,
CUST-00692,2023-08-11 22:50:27+00:00,,,
CUST-00693,2023-03-21 23:25:56+00:00,,,
CUST-00699,2023-01-15 06:57:50+00:00,,,
CUST-00703,2023-03-13 00:29:21+00:00,,,
CUST-00705,2023-09-12 08:47:46+00:00,,,
CUST-00708,2023-09-14 20:15:22+00:00,,,
CUST-00710,2023-11-27 02:36:48+00:00,,,
CUST-00712,2023-08-03 02:14:49+00:00,,,
CUST-00713,2023-11-19 07:10:05+00:00,,,
CUST-00714,2023-02-06 21:01:59+00:00,,,
CUST-00716,2023-05-09 23:10:16+00:00,,,
CUST-00717,2023-08-04 22:24:59+00:00,,,
CUST-00718,2023-07-09 05:43:45+00:00,,,
CUST-00720,2023-01-10 11:32:40+00:00,,,
CUST-00731,2023-07-05 00:44:23+00:00,,,
CUST-00732,2023-11-03 07:57:01+00:00,,,
CUST-00739,2023-12-30 23:33:35+00:00,,,
CUST-00740,2023-03-27 22:45:32+00:00,,,
CUST-00741,2023-12-07 14:55:00+00:00,,,
CUST-00747,2023-05-07 09:43:38+00:00,,,
CUST-00748,2023-10-08 16:53:07+00:00,,,
CUST-00756,2023-06-18 06:00:28+00:00,,,
CUST-00757,2023-10-25 13:05:36+00:00,,,
CUST-00758,2023-08-13 16:53:28+00:00,,,
CUST-00766,2023-07-13 06:06:15+00:00,,,
CUST-00773,2023-10-26 17:38:36+00:00,,,
CUST-00778,2023-07-12 09:58:53+00:00,,,
CUST-00779,2023-03-31 12:46:13+00:00,,,
CUST-00782,2023-03-24 14:31:15+00:00,,,
CUST-00784,2023-02-10 00:06:59+00:00,,,
CUST-00787,2023-11-05 07:53:15+00:00,,,
CUST-00790,2023-03-28 16:43:17+00:00,,,
CUST-00793,2023-06-23 01:26:39+00:00,,,
CUST-00794,2023-05-26 13:32:39+00:00,,,
CUST-00798,2023-12-12 10:03:06+00:00,,,
CUST-00800,2023-03-24 11:20:18+00:00,,,
